Date,Series,p2_5,p16,p50,p84,p97_5
1962-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1962-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1963-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1963-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1963-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1963-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1964-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1964-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1964-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1964-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1965-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1965-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1965-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1965-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1966-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1966-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1966-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1966-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1967-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1967-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1967-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1967-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1968-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1968-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1968-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1968-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1969-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1969-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1969-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1969-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1970-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1970-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1970-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1970-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1971-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1971-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1971-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1971-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1972-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1972-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1972-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1972-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1973-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1973-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1973-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1973-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1974-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1974-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1974-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1974-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1975-01-01,EPi,0.0,0.0,0.0,0.0,0.0
1975-04-01,EPi,0.0,0.0,0.0,0.0,0.0
1975-07-01,EPi,0.0,0.0,0.0,0.0,0.0
1975-10-01,EPi,0.0,0.0,0.0,0.0,0.0
1976-01-01,EPi,0.0,0.0,0.0,0.0,0.0
